Date Time Hour Beginning,Date Time Hour Beginning,Original Res Forecast before Lockdown,Residual Forecast,RSA Contracted Forecast,Dispatchable Generation,Residual Demand,RSA Contracted Demand,International Exports,International Imports,Thermal Generation,Nuclear Generation,Eskom Gas Generation,Eskom OCGT Generation,Hydro Water Generation,Pumped Water Generation,ILS Usage,Manual Load_Reduction(MLR),IOS Excl ILS and MLR,Dispatchable IPP OCGT,Eskom Gas SCO,Eskom OCGT SCO,Hydro Water SCO,Pumped Water SCO Pumping,Wind,PV,CSP,Other RE,Total RE,Wind Installed Capacity,PV Installed Capacity,CSP Installed Capacity,Other RE Installed Capacity,Total RE Installed Capacity,Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF,Non Comm Sentout,Drakensberg Gen Unit Hours,Palmiet Gen Unit Hours,Ingula Gen Unit Hours
2023-01-23/2023-01-29,2023-01-26 11:30:00,23924.655785714283,26090.286738095245,21246.21288690476,24089.27482142858,26364.46342261905,1352.1370654761904,1350.017857142857,18067.16714285714,921.202380952381,0.0,544.1369047619048,400.54761904761904,374.04761904761904,13.303571428571429,2810.8706369047627,18.88779761904762,146.02173809523805,-2.0,-3.4524940476190498,0.0,-551.4761904761905,1397.8449940476196,663.244148809524,177.4206785714285,36.67877976190479,2275.1886011904767,3442.5700000000006,2212.0900000000056,500.0,50.57999999999994,6205.2399999999925,46686.0,6355.196559523809,15038.143380952384,859.8091607142849,15897.470238095239,427.4345238095238,0.4202380952380952,68.91369047619052,36.92172619047619,40.156755952380955
2023-01-30/2023-02-05,2023-02-02 11:30:00,24113.541994047628,26259.440803571433,20937.48250000001,24030.788535714284,26260.574999999997,1310.2322023809525,1380.392857142857,17944.08863095238,923.2083333333334,0.0,291.57738095238096,462.0,372.0595238095238,0.0,3069.9614345238097,23.34474404761905,98.43383333333333,-2.0,-2.951059523809533,0.0,-529.327380952381,1317.3232797619041,653.5415178571429,221.6145178571429,37.307148809523795,2229.7864642857144,3442.5700000000006,2212.0900000000056,500.0,50.57999999999994,6205.2399999999925,46686.0,5020.310220238096,16287.621000000005,541.5787916666659,16828.70238095238,445.76190476190476,0.0,79.01428571428569,45.10714285714281,37.388303571428565
2023-02-06/2023-02-12,2023-02-09 11:30:00,24254.494047619046,26140.130952380954,21856.624404761904,24445.785577380942,26290.567000000017,1265.7583511904777,1376.8690476190477,18668.947023809524,922.75,0.0,338.8333333333333,522.327380952381,477.3392857142857,2.6607142857142856,2567.8596249999996,18.64097619047619,135.07073809523814,-2.0,-3.834071428571435,0.0,-579.6785714285714,1103.0234821428567,526.4697559523808,177.45290476190485,37.83527976190477,1844.7814226190478,3442.5700000000006,2212.0900000000056,500.0,50.57999999999994,6205.2399999999925,46686.0,5084.507339285714,15556.529065476185,673.7818869047619,16229.857142857143,430.45238095238096,0.0,81.11785714285715,40.17380952380949,32.52827380952381
2023-02-13/2023-02-19,2023-02-16 11:30:00,24182.542422619044,26146.215041666663,21441.40410714285,24281.687297619043,26334.25611904761,1286.2890059523813,1339.3214285714287,17943.456309523808,855.8928571428571,0.0,537.6547619047619,603.2202380952381,376.42857142857144,7.910714285714286,2817.7351071428575,14.6375,279.6210714285713,-2.0,-3.3579404761904805,0.0,-488.8333333333333,1140.1415654761902,617.7478988095239,261.933636904762,32.745720238095245,2052.568821428572,3442.5700000000006,2212.0900000000056,500.0,50.57999999999994,6205.2399999999925,46686.0,4238.951595238095,16674.21698809523,1351.3809107142852,18025.119047619046,435.5952380952381,0.0,71.78749999999998,44.338095238095256,29.445476190476196
2023-02-20/2023-02-26,2023-02-23 11:30:00,24064.06822619047,26152.34798809522,19773.094476190465,24253.126577380946,26490.820535714294,1256.6658214285708,762.2321428571429,17072.521666666664,921.8988095238095,3.0952380952380953,443.5238095238095,598.922619047619,339.7083333333333,4.523214285714286,4454.197809523809,21.311107142857146,169.16351190476186,-1.9464285714285714,-2.1861190476190524,0.0,-533.8392857142857,1186.6742142857142,737.4173035714285,287.0751011904761,26.52733928571429,2237.6939583333333,3442.5700000000006,2212.0900000000056,500.0,50.57999999999994,6205.2399999999925,46686.0,4483.289410714286,16302.477333333334,2216.214678571428,18518.208333333332,436.3511904761905,0.0,62.17202380952383,33.69940476190475,35.54875000000001
2023-02-27/2023-03-05,2023-03-02 11:30:00,24171.123351190487,26062.766208333334,21210.280232142846,24272.196101190482,26192.959190476187,1205.1816785714286,716.4166666666666,18529.61892857143,922.827380952381,0.0,396.2083333333333,603.8452380952381,489.51190476190476,7.982142857142857,3037.060517857143,16.873113095238097,142.8493214285714,-2.0,-0.616589285714286,0.0,-588.3809523809524,1089.0779285714282,609.708220238095,194.60136904761907,27.37557142857142,1920.7630892857144,3442.5700000000006,2212.0900000000056,500.0,50.57999999999994,6205.2399999999925,46686.0,4800.160124999999,16734.06830357143,470.92491666666604,17204.51785714286,414.76190476190476,0.0,70.16488095238097,36.58035714285699,37.89488095238095
2023-03-06/2023-03-12,2023-03-09 11:30:00,24164.124809523815,26188.02957142858,21303.622267857136,24228.34438690476,26473.14239285715,1328.1480892857155,732.2678571428571,18632.321428571428,922.625,0.0,438.5892857142857,603.6011904761905,380.0892857142857,7.982142857142857,2900.976898809524,15.763000000000002,135.72060119047623,-1.8154761904761905,-0.6935714285714286,0.0,-539.0833333333334,1245.8023035714289,690.5572559523808,277.11447023809507,31.323976190476184,2244.798005952381,3442.5700000000006,2212.0900000000056,500.0,50.57999999999994,6205.2399999999925,46686.0,4444.298613095239,16741.356601190477,832.9222619047617,17573.809523809523,423.7857142857143,0.0,73.53750000000002,28.0547619047618,38.9392261904762
2023-03-13/2023-03-19,2023-03-16 11:30:00,24266.77648214285,26240.93719642856,22309.23955952381,24093.907732142863,26121.49084523808,1395.145107142858,1325.2440476190477,19717.85726190476,921.7619047619048,0.0,4.232142857142857,424.39285714285717,450.6309523809524,1.6071428571428572,1768.0627023809527,14.998315476190477,39.455779761904765,-2.0,-4.442535714285718,0.0,-567.8928571428571,1229.7703214285723,590.1538809523811,179.0682380952381,28.59067261904761,2027.5831130952376,3442.5700000000006,2212.0900000000056,500.0,50.57999999999994,6205.2399999999925,46686.0,4426.3428690476185,14399.398452380958,629.1268452380953,15028.041666666666,454.8095238095238,0.0,90.48988095238093,28.19999999999991,46.7472023809524
2023-03-20/2023-03-26,2023-03-23 11:30:00,23572.01067261905,25722.099958333343,21791.782154761902,22749.370595238106,24953.374,1253.4529047619044,1400.827380952381,18942.115,917.5892857142857,0.0,86.7797619047619,374.10714285714283,513.8035714285714,7.982142857142857,927.9364583333336,21.669940476190476,213.69516071428575,-2.0,-4.80187500000001,0.0,-650.3333333333334,1566.2296250000006,476.54325,130.67340476190475,30.557125000000003,2204.003404761904,3442.5700000000006,2212.0900000000056,500.0,50.57999999999994,6205.2399999999925,46686.0,5768.848410714287,14634.743875000006,517.2968392857138,15151.529761904761,452.76190476190476,0.0,79.18809523809523,28.740476190476198,38.41488095238093
2023-03-27/2023-04-02,2023-03-30 11:30:00,23681.09233333333,25725.753047619048,21737.79662500001,23878.419958333332,25933.609303571422,1192.9416011904761,1407.4367083333332,18616.500523809522,920.3535,4.285714285714286,353.20714285714286,297.711613095238,411.91047023809534,13.303571428571429,2109.3836428571417,17.936113095238095,321.87786309523796,-1.95910119047619,-3.0065119047619095,-0.000541666666666667,-590.5208214285716,1251.7211666666662,581.4886904761905,193.68029166666665,28.29919642857142,2055.189345238095,3442.5700000000006,2233.518571428577,500.0,50.57999999999994,6226.668571428563,46686.0,6823.439291666667,15087.516910714286,370.33785119047593,15457.369047619048,430.0357142857143,0.0,70.19285714285715,29.384523809523802,38.63624999999999
2023-04-03/2023-04-09,2023-04-06 11:30:00,23151.73177380953,24944.946059523816,20995.803226190477,22906.33536904762,24812.44994642858,1228.881410714286,1355.4746666666665,18230.44464880952,922.1974464285717,0.00013095238095238096,184.02050595238092,234.36618452380966,411.7400952380952,13.321428571428571,1884.4571726190484,12.753571428571428,180.9248154761906,-1.889214285714286,-2.6368273809523863,-0.0017619047619047631,-518.8376369047619,1078.1189523809528,592.4864702380951,200.95238095238096,34.55677380952382,1906.1145773809528,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,7391.746428571428,15046.921125000003,345.7685714285714,15392.25,410.92261904761904,0.0,83.51964285714287,29.399999999999995,45.22541666666667
2023-04-10/2023-04-16,2023-04-13 11:30:00,23675.05496428571,25517.412107142845,20521.313999999995,23924.363458333322,25846.19072023809,1220.636500000001,1113.7992738095238,17699.719357142858,681.7439226190476,2.380952380952381e-05,574.5993452380956,284.8018750000001,428.83338095238094,13.303571428571429,3378.0057916666674,11.740077380952382,298.8140297619047,-1.6444821428571434,-1.8608333333333347,-0.0015833333333333344,-557.4904107142853,1073.5286845238088,615.3946904761906,199.1329523809523,33.77093452380952,1921.827261904762,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,6765.063690476191,16227.183035714294,391.0133333333336,16617.744047619046,388.3452380952381,0.5660714285714286,79.11428571428574,29.313273809523828,41.198035714285695
2023-04-17/2023-04-23,2023-04-20 11:30:00,24615.538077380952,26306.17498214286,20991.951250000002,24497.391232142858,26418.55960714286,1160.486017857143,849.8590833333334,18465.185470238088,802.6873988095239,0.0,569.8696726190477,355.72394642857176,414.595029761905,10.908928571428572,3483.014101190477,11.516964285714286,86.60327976190476,-2.0548273809523807,-2.349934523809528,-0.0012738095238095247,-548.1664761904763,1175.1653214285711,547.0343809523808,166.42778571428568,32.540886904761905,1921.1683749999997,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,6152.430059523809,15550.934904761909,302.914386904762,15853.327380952382,464.6845238095238,0.0,79.39821428571429,27.42291666666667,43.0406845238095
2023-04-24/2023-04-30,2023-04-27 11:30:00,23944.863624999998,25527.02433928572,21695.461535714294,23927.88731547619,25541.977059523815,1237.7118869047613,1184.5588214285713,18489.299690476193,922.2665357142862,1.4678869047619048,667.9043452380951,367.1734464285714,411.0352440476191,10.642857142857142,2204.155279761906,17.62767857142857,139.7429642857143,-2.076172619047619,-1.9056904761904765,-0.0012083333333333343,-484.00407738095186,921.0504583333336,514.0733511904764,148.9615178571429,30.004416666666668,1614.0897440476194,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,4883.477261904762,16800.651160714286,360.96963690476196,17161.160714285714,429.11309523809524,0.0,76.82380952380947,26.161904761904744,37.23125000000001
2023-05-01/2023-05-07,2023-05-04 11:30:00,24211.695303571425,25529.67744642857,21434.029803571433,24250.022321428572,25562.39585714285,1125.8077380952382,1237.021678571429,18239.73605952381,922.3353333333332,0.0,641.4879166666667,61.423494047619066,417.9823273809522,8.115178571428572,2785.4830178571438,22.394345238095237,462.4232797619047,-2.1100952380952385,-1.741476190476191,-0.0016547619047619058,-544.5270238095234,660.5889285714279,441.96327976190486,99.78261309523809,32.71102976190476,1235.0458511904767,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,3956.112130952381,17857.177220238107,522.8680773809517,18379.559523809523,454.9166666666667,0.0,82.91488095238093,24.199999999999925,41.03928571428571
2023-05-08/2023-05-14,2023-05-11 11:30:00,24368.936523809516,26310.06747619046,20895.86545238095,24247.050440476203,26332.929071428563,1164.6858392857137,1295.1893392857148,17992.461404761907,922.4508392857146,2.4810952380952385,560.0848511904759,135.3594583333337,383.8178690476192,13.321428571428571,3326.876279761906,10.987303571428573,169.59945238095236,-2.1085297619047614,-1.9769523809523826,-0.0017738095238095252,-561.4915238095239,1391.798875,454.3745357142857,132.61715476190477,11.321345238095242,1990.1119107142858,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,3969.2639821428565,18076.013458333335,408.17725595238085,18483.708333333332,444.5297619047619,0.0,73.1732142857143,24.199999999999925,43.448184523809516
2023-05-15/2023-05-21,2023-05-18 11:30:00,25009.17648214285,26624.033624999996,22673.42988690477,25122.896172619054,26794.17126785713,1181.35325,1412.8250119047616,19621.740363095243,924.5683809523814,0.0,579.9582440476188,60.32099404761907,470.52638095238103,5.321428571428571,2422.123154761905,22.02172619047619,188.03125000000003,-2.1539761904761905,-1.8816845238095228,-0.001648809523809525,-580.5032797619049,917.6071249999999,489.66706547619054,141.5171071428572,28.869660714285722,1577.6609583333332,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,3639.1004642857138,16626.862886904764,362.8242500000001,16989.208333333332,416.7559523809524,0.0,82.16071428571429,19.81726190476192,41.96999999999997
2023-05-22/2023-05-28,2023-05-25 11:30:00,24945.875273809528,26790.738369047624,22668.80891071428,24952.691011904768,26769.95433928572,1209.8506190476194,1370.5586428571435,19272.602779761906,924.0631904761906,1.6553869047619045,774.14,115.24220833333372,470.15782738095237,13.25922619047619,2252.987726190477,17.635119047619046,383.02086309523827,-2.1242738095238103,-1.7665654761904783,-0.0015833333333333344,-638.739464285714,1192.6942857142863,424.34397023809515,94.10383928571426,34.90593452380952,1746.0480297619042,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,3320.2280119047623,17298.832773809525,460.8455714285714,17759.17261904762,474.0952380952381,0.0,80.26607142857142,24.306547619047613,42.55842261904762
2023-05-29/2023-06-04,2023-06-01 11:30:00,25156.87026190476,26936.50121428571,22541.466904761914,24995.818392857145,26879.66626190478,1133.727166666667,1161.3224583333333,20025.560452380952,923.5237023809526,0.0,398.0504464285714,42.716892857142795,517.1665119047617,10.642857142857142,2430.816660714286,12.891964285714286,211.04829761904753,-2.138255952380953,-2.6827976190476184,-0.0018095238095238108,-733.0988869047616,1396.1620357142851,355.55213095238094,49.94818452380954,33.45204166666664,1835.1143928571428,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,2410.019107142857,16915.78599404762,474.44542857142864,17389.738095238095,449.19642857142856,0.0,80.4875,37.00773809523811,42.751845238095235
2023-06-05/2023-06-11,2023-06-08 11:30:00,24239.328690476195,26228.52511904762,23332.4976845238,24226.59725595238,26294.274309523826,1181.6819226190485,1324.7452083333333,20624.956321428574,922.5097976190484,0.0,140.7906845238095,359.9482559523805,521.629863095238,10.642857142857142,874.4477202380951,9.008928571428571,109.54640476190477,-2.142065476190475,-3.1595476190476197,-0.0008095238095238101,-666.3262619047616,1378.3718452380951,464.76705357142845,86.69133333333332,38.39419047619048,1968.2244226190471,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,2776.674702380952,15843.647547619048,466.71904761904756,16309.857142857143,452.01190476190476,0.0,88.77202380952383,47.60595238095239,46.93011904761904
2023-06-12/2023-06-18,2023-06-15 11:30:00,23738.396648809518,26310.55141071428,22861.680809523812,23561.097779761905,26266.677904761913,1169.9414999999997,1381.7342857142867,20136.026232142867,735.2134880952383,0.0,369.7102083333335,217.7735000000004,526.868005952381,10.660714285714286,681.1620178571426,7.594249999999999,169.13531547619047,-2.138160714285714,-2.604130952380955,-0.0012976190476190485,-670.0364880952379,2088.5611071428566,418.68467261904766,71.48676190476192,36.19408928571428,2614.926630952382,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,4473.803654761896,15024.735523809515,502.58271428571436,15526.85119047619,427.8333333333333,0.4845238095238096,85.03571428571426,46.400238095238116,45.47199404761905
2023-06-19/2023-06-25,2023-06-22 11:30:00,24516.01961309523,26521.82913690475,23507.249053571417,24400.26038095238,26569.042535714278,1181.8641845238103,1327.8912261904763,20438.84847619047,921.8731488095241,0.026488095238095238,582.036607142857,119.263416666667,544.3877500000003,7.982142857142857,879.5755535714286,5.453571428571429,266.6330714285715,-2.1372916666666666,-2.091875,-0.0016011904761904772,-689.480291666667,1538.364773809524,436.43830357142855,56.48042857142858,37.710898809523805,2068.994404761904,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,3739.1647857142866,15335.850880952383,580.4439761904761,15915.767857142857,489.5357142857143,0.0,77.49940476190478,42.0345238095238,40.662916666666675
2023-06-26/2023-07-02,2023-06-29 11:30:00,24674.66027976191,26508.178136904768,23572.488541666666,24503.77164880952,26448.632875000018,1273.2488690476193,1370.9488333333336,20601.12980952381,921.7133869047622,3.4285357142857142,531.2174107142858,109.03668452380983,587.5195476190474,7.982142857142857,918.108702380952,5.192261904761905,237.82811904761888,-2.1514702380952393,-1.9354761904761866,-0.0016785714285714297,-786.2450833333334,1401.9439107142855,380.8512559523809,26.45781547619048,37.45710714285715,1846.7100892857145,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,3798.3826369047615,15327.818749999993,398.5931369047622,15725.934523809523,444.51785714285717,0.0,73.81845238095237,38.298214285714245,42.86821428571427
2023-07-03/2023-07-09,2023-07-06 11:30:00,23971.89045833333,26213.878553571423,23023.28348214286,23986.38651190476,26298.538202380954,1274.1102321428577,1367.2503511904758,20048.36338690476,921.1846607142853,7.142857142857143e-05,558.6633333333334,90.89692261904781,649.4088095238096,8.133928571428571,952.5792261904766,2.3898809523809526,169.6247083333334,-2.045071428571429,-1.4114404761904782,-0.0015892857142857154,-778.6504702380953,1675.3195892857136,450.0836309523808,51.62920238095236,35.119267857142844,2212.151690476191,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,4420.4202321428575,15123.059529761917,270.74475,15393.291666666666,474.5654761904762,0.4297619047619048,76.97738095238098,41.31517857142852,38.978630952381
2023-07-10/2023-07-16,2023-07-13 11:30:00,25193.713392857146,26941.838392857153,22442.413613095232,25555.80026190477,27348.60967857143,1208.9268452380954,1362.0365000000002,19352.848749999994,921.760130952381,6.389595238095238,712.4087797619043,101.19982142857175,584.6358392857143,13.392261904761902,3097.9888630952387,2.0055476190476194,251.7655357142857,-1.905416666666666,-1.6787500000000009,-0.0015535714285714295,-847.045601190476,1128.8505238095242,447.53664880952374,81.64295238095238,35.16549404761905,1693.1956190476194,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,3181.8898750000003,17131.245952380967,216.81191071428574,17347.57738095238,435.9107142857143,0.0,55.5541666666667,28.27202380952379,36.55077380952383
2023-07-17/2023-07-23,2023-07-20 11:30:00,24689.86305952381,26893.226154761905,22976.102660714274,24904.667327380943,27053.129315476188,1202.7006547619048,1387.023005952381,19881.924624999992,921.584047619048,1.6396904761904763,610.2893749999998,86.05690476190505,654.5448928571427,13.446428571428571,1911.7146071428585,3.4035714285714285,238.39303571428576,-1.9689107142857143,-2.425702380952381,-0.0014702380952380963,-800.9568511904766,1557.8990595238101,420.2370952380951,54.102702380952366,37.49525595238094,2069.7341130952386,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,2832.5742321428575,16744.324476190483,418.9795059523808,17162.815476190477,469.2738095238095,0.0,75.83869047619048,37.297023809523736,39.67238095238095
2023-07-24/2023-07-30,2023-07-27 11:30:00,24723.7729047619,26559.445523809518,22141.269255952382,24575.371940476187,26481.803011904758,1181.4081845238097,1202.3593333333336,19916.179101190475,750.3580000000001,0.212,296.44970238095243,88.53507142857167,575.3265833333337,7.982142857142857,2422.8094821428563,3.3110119047619047,160.73266666666663,-2.1390595238095225,-2.658892857142856,-0.001488095238095239,-844.0836904761904,1354.1347678571433,395.9015000000001,34.32046428571428,38.437696428571435,1822.794428571429,3442.5700000000006,2287.090000000006,500.0,50.57999999999994,6280.2399999999925,46686.0,3512.792666666657,15948.592958333325,515.9575178571428,16464.04761904762,443.76785714285717,0.0,74.0583333333333,28.77142857142855,41.61750000000001
